Title,Link,Publish_date,Description,classification
iAngels 2017 May Deal Digest,https://www.iangels.com/2017/06/iangels-2017-may-deal-digest/,"Wed, 21 Jun 2017 19:36:09 +0000","Welcome to the iAngels monthly deal digest! This May we tracked 19 announced deals totaling $206M, alongside 6 acquisitions for a disclosed $217M. The leading sectors this month were the Medical tech with 5 startups raising $55M, and Cybersecurity with 4 startups raising $45.5M. Read on for the full scoop! Seed Rounds PureSec, a security solution for serverless architectures, […]",other
iAngels Newsflash Webinar – The Cryptocurrency Gold Rush,https://www.iangels.com/2017/06/iangels-newsflash-webinar-cryptocurrency-gold-rush/,"Tue, 20 Jun 2017 15:52:37 +0000","See Yoni Assia in conversation with iAngels Founding Partner, Mor Assia in this webinar. Yoni Assia is Founder and CEO of eToro and an advisory board member at Bancor, who has just finished the largest ICO to date. You can read our summary on the basics of Blockchain 101 here",other
iAngels Newsflash Webinar – Cyber Extortion is the New Threat Economy,https://www.iangels.com/2017/05/cyber-extortion-is-the-new-threat-economy/,"Wed, 17 May 2017 11:14:15 +0000","This week the world incurred the worst ransomware attacks on record. To respond to the global panic, we held a webinar with iAngels Founder, Shelly Hod Moyal in conversation with David Maman, CEO of cybersecurity company, Binah (previously Unicorn), who will be shedding light on what stands behind these latest attack.  David Maman brings 23 years […]",other
The Merging of Marketing and Ad Tech,https://www.iangels.com/2017/05/merging-marketing-ad-tech/,"Tue, 09 May 2017 14:59:49 +0000","The holy grail of marketing – reaching the right person with the right message at the right time – drew a bit closer this past week when Oracle announced a $850m acquisition of digital advertising measurement company, Moat Analytics. Read on to discover how iAngels Venture Partner, Kfir Moyal’s predictions about the merging of marketing […]",other
iAngels 2017 March Deal Digest,https://www.iangels.com/2017/03/iangels-2017-march-deal-digest/,"Thu, 30 Mar 2017 11:58:51 +0000","Welcome back to the iAngels monthly deal digest! This March we tracked 28 announced deals totaling $298m, alongside 4 acquisitions for a disclosed $15.4b. Read on for the full scoop! Seed Rounds Speakizi, a platform connecting content providers and audiences, raised $500,000 from private angel investors. Astralink, a software solution that uses computer vision and AR to prevent construction […]",fund
Podcast: Gigi Levy: Israel’s #1 Angel Investor,https://www.iangels.com/2017/03/gigilevy/,"Wed, 01 Mar 2017 18:13:37 +0000","In this podcast, Gigi Levy discusses what he looks for in a team, market, and product, his criteria for follow-on rounds, the NFX accelerator, and more. ",other
iAngels 2017 January Deal Digest,https://www.iangels.com/2017/01/iangels-2017-january-deal-digest/,"Mon, 30 Jan 2017 11:43:39 +0000","Welcome back to the iAngels monthly deal digest! This January we tracked 19 announced deals totaling $356m, alongside 10 acquisitions for a disclosed $1.1b. The surge in growth financing continued as we witnessed a newly minted unicorn in Kaminario, while in parallel Kik acquired Rounds and established a new R&D center in Israel. Read on for the full scoop! Seed […]",Merge & Aquistion
Podcast: Exit Nation: How Inneractive Media Sold for $86m,https://www.iangels.com/2017/01/exit-nation-how-inneractive-media-sold-for-86m/,"Mon, 30 Jan 2017 10:27:21 +0000","In this podcast, iAngels host Max Marine unpacks the details of how Ziv Elul and Offer Yehudai  built and sold their company to a publicly-traded Germany media company.",Merge & Aquistion
Ushering in the Era of Autonomous Vehicles: A Primer on Sensor Technology,https://www.iangels.com/2017/01/enabling-the-era-of-autonomous-vehicles-a-primer-on-sensor-technology/,"Mon, 30 Jan 2017 09:41:19 +0000","In 1886, Karl Benz revealed the first automobile in history. In 1908, Henry Ford sold the first Model T. In 2017, the $9 trillion global automotive industry sells nearly 100 million vehicles a year. Despite the incredible mechanical and manufacturing breakthroughs we’ve witnessed in the past century, one thing has remained constant: the driver. But […]",other
iAngels December Deal Digest,https://www.iangels.com/2017/01/iangels-december-deal-digest/,"Tue, 03 Jan 2017 12:27:50 +0000","Happy new year to you and your families. As we enter 2017, iAngels is grateful for your attention and eager to hear your feedback about the Monthly Deal Digest. What do you like about it? What can we improve? Please feel free to send us an email via max@iangels.co. This December we tracked 21 announced deals totaling $416m, […]",other
iAngels Founding Partner Mor Assia on stage at the 2016 NOAH Conference,https://www.iangels.com/2016/12/iangels-founding-partner-mor-assia-stage-2016-noah-conference/,"Tue, 06 Dec 2016 16:12:59 +0000","At the 2016 NOAH Conference in London, iAngels’ founding partner Mor Assia discusses key challenges and opportunities that lie ahead for accredited investors. In times of volatility and slowing economic growth, investors look to innovation as the main source of wealth creation. After all, asset classes where you can see the potential to 100x your […]",fund
iAngels November Deal Digest,https://www.iangels.com/2016/12/iangels-deal-digest-november-monthly-wrap-up/,"Mon, 05 Dec 2016 09:36:29 +0000","Shalom from Tel Aviv and welcome back to the iAngels monthly deal digest! This November we tracked 24 announced deals totaling $161m, alongside two acquisitions for a disclosed $4.5m. Read on for a deeper dive! Seed Rounds TinyTap, a educational game creation platform, raised $1.5m from Inimiti, Radiant Venture Capital, Reinvent VC, and other private investors. Clk.im, […]",fund
Israel cybersecurity tech helps NatWest catch online crooks,https://www.iangels.com/2016/11/israel-cybersecurity-tech-helps-natwest-catch-online-crooks/,"Tue, 29 Nov 2016 11:58:36 +0000","BioCatch, which tracks behavior to detect online fraud, says UK bank has successfully tried its tech with clients BioCatch, a cybersecurity company that tracks behavior to catch cyber crooks, said UK’s NatWest bank has successfully tried its technology with clients. NatWest, one of the largest banks in the UK, has deployed BioCatch technology since the […]",other
8 Women Rocking the Israeli Startup Scene,https://www.iangels.com/2016/11/8-women-rocking-israeli-startup-scene/,"Thu, 24 Nov 2016 10:58:17 +0000","It’s no surprise that Israeli companies are rocking the startup scene. The nation is now rated #1 outside the Silicon Valley for startups and is known for their innovative and trendy ideas. In recent years, there has been an increase in the diversity of entrepreneurs with more and more women taking on entrepreneurial challenges. These […]",other
Israeli Caja competes with Amazon’s robots,https://www.iangels.com/2016/11/israeli-caja-competes-amazons-robots/,"Thu, 24 Nov 2016 10:44:49 +0000","Caja Systems has made the startling realization that the public likes buying online and wants to make getting your items out of the warehouse even easier The e-commerce market is continually growing. The bottleneck for companies is their logistics warehouses, which have trouble maintaining a large variety of products and meeting tight supply schedules. Israeli […]",other
Zeek announces million pound investment as it debuts new TV ad campaign with the help of Guerillascope,https://www.iangels.com/2016/11/zeek-announces-million-pound-investment-debuts-new-tv-ad-campaign-help-guerillascope/,"Thu, 24 Nov 2016 10:38:10 +0000","Gift card marketplace, Zeek has launched its first through-the-line marketing campaign, with a seven figure investment in television, OOH, digital and PR. The website and free app allows users to buy and sell physical and digital gift cards at a discount, and was named by Forbes as one of London’s most exciting start-ups of 2016. […]",fund
"Why Brands, Retailers and Investors Should be Looking at Israeli E-Commerce",https://www.iangels.com/2016/11/brands-retailers-investors-looking-israeli-e-commerce/,"Mon, 14 Nov 2016 13:24:42 +0000","Two side-by-side acquisitions in the US in recent months — Xaxis’ purchase of Triad Retail Media, for a rumored $300m, and Criteo’s $250m buyout of close competitor HookLogic — point towards a clear trend in global e-commerce, with considerable lessons for entrepreneurs in Israel. Both Triad and HookLogic help retailers sell ad space on their websites, opening up a […]",other
iAngels Deal Digest – October Monthly Wrap Up,https://www.iangels.com/2016/10/iangels-deal-digest-october-monthly-wrap/,"Mon, 31 Oct 2016 10:08:17 +0000","Greetings from Tel Aviv and welcome to another monthly wrap up and Happy Halloween! October was a special month in Israel, as we celebrated Rosh Hashanah, Yom Kippur, Sukkot, and Simchat Torah. With such a preponderance of holidays one might think that deal volume might suffer due to the stop and start nature of each […]",other
Drippler Launches Chatbot To Provide 24/7 Mobile Tech Support,https://www.iangels.com/2016/10/drippler-launches-chatbot-provide-247-mobile-tech-support/,"Sun, 30 Oct 2016 16:42:00 +0000","Drippler, the smart tech assistant app, has announced the launch of Drippler 3.0, which comes with a new tech support chatbot that helps users resolve technical issues on their smartphones. Drippler’s new chat-based tech support service combines artificial intelligence with a “human-in-the-loop” system, supported by a community of experts who can answer consumer tech related […]",other
"KamaTech, iAngels launch first VC fund for Haredi entrepreneurs",https://www.iangels.com/2016/10/kamatech-iangels-launch-first-vc-fund-haredi-entrepreneurs/,"Thu, 27 Oct 2016 11:20:45 +0000","KamaTech, an accelerator for ultra-Orthodox start-ups in Israel, and the Israeli investment network iAngels, launched the first VC fund exclusively for Haredi entrepreneurs in Tel Aviv on Wednesday. In the next three years, the fund, called 12 Angels, will invest some $5 million in about 30 companies focusing on education technology, e-commerce, artificial intelligence, cybersecurity […]",fund
That awesome ATM for swapping leftover foreign currency goes after Chinese tourists,https://www.iangels.com/2016/10/awesome-atm-swapping-leftover-foreign-currency-goes-chinese-tourists/,"Thu, 06 Oct 2016 14:11:42 +0000","One of our favorite startups here at Tech in Asia is TravelersBox, which is an ATM-esque contraption at airports that helps you swap all that pesky leftover foreign currency into something useful, like Paypal or iTunes credit, or vouchers for GAP or Starbucks. The TravelersBox machine is now going after China’s hordes of globe-trotting tourists, […]",other
iAngels Deal Digest – September Monthly Wrap Up,https://www.iangels.com/2016/10/iangels-september-deal-digest-september-monthly-wrap-up/,"Sat, 01 Oct 2016 10:57:57 +0000","Greetings from Tel Aviv and welcome to another monthly wrap up! It’s been now a full quarter since starting the iAngels deal digest, and over time I’ve learned that a mid-month and end-of-month digest is more meaningful, manageable, and informative than a weekly update. So from now on you can expect an update twice a month. […]",other
"iAngels Weekly Deal Digest – September 15th, 2016",https://www.iangels.com/2016/09/iangels-weekly-deal-digest-september-15th-2016/,"Thu, 15 Sep 2016 11:13:57 +0000","If you came here from the September Wrap Up Newsletter – please find the September Wrap Up here. Meanwhile, the weekly deal digest from September 15th is below :) After the $66m capital cool down in the first week of September, the past week we watched the final embers of Tel Aviv’s blazing summer, with $452m in announced investments. Seed Rounds […]",fund
"Podcast: The Future of Alternative Finance with Richard Swart, Ron Suber, and Shelly Hod Moyal",https://www.iangels.com/2016/09/podcast-the-future-of-alternative-finance/,"Mon, 12 Sep 2016 13:33:35 +0000","Innovation is primarily a function of need. Faced with a given problem, an entrepreneurial mind knows only one response – to devise a solution. To use a famous example from Israel itself, the development of efficient irrigation systems didn’t simply emerge from a vacuum. Faced with arid conditions and weak import prospects, drip irrigation developed […]",other
NFX Guild just introduced 13 buzzy young companies to investors,https://www.iangels.com/2016/09/nfx-guild-just-introduced-13-buzzy-young-companies-investors/,"Mon, 12 Sep 2016 08:38:53 +0000","The young Bay Area accelerator NFX Guild hosted its third “demo day” yesterday at the Computer History Museum in Mountain View, and the attendees were a veritable who’s who of venture and angel investing. It wasn’t necessarily a surprise that roughly 200 top investors were sitting elbow to elbow to see the presenting companies. NFX Guild prides itself on being different that […]",fund
Israel’s WSC Sports nabs Intel investment for growth,https://www.iangels.com/2016/09/israels-wsc-sports-nabs-intel-investment-growth/,"Mon, 12 Sep 2016 07:20:38 +0000","WSC Sports Technologies, which has developed an automatic, real-time, customizable platform to create video for sports broadcasts said Thursday it has completed a $12 million Series B round of financing. The round was led by Intel Capital, with other investors including the owners of the Minnesota Vikings and the LA Dodgers and equity crowdfunding platform […]",fund
"Act Kwik for refills on diapers, pizza and beer",https://www.iangels.com/2016/09/act-kwik-refills-diapers-pizza-beer/,"Tue, 06 Sep 2016 11:26:03 +0000",You’re out of diapers and the baby has just … you know. Or your poodle has eaten all his kibble and is looking at you with those sad puppy-dog eyes. Or you’re short a six-pack of beer for the after-game blowout. Help is just the click of a button away. Literally. Israeli startup Kwik makes […],other
iAngels August Deal Digest – August Monthly Wrap Up,https://www.iangels.com/2016/09/iangels-august-deal-digest-monthly-wrap/,"Thu, 01 Sep 2016 12:33:52 +0000","Greetings from Tel Aviv and welcome to another monthly wrap up! Apologies for the silence last week, merely a reflection of the silence of capital inflows, but I should have notified you all about the temporary hiatus. Some pretty exciting news this week in Israel, in particular Compass raised a $75m round vaulting the company […]",fund
WeissBeerger: Ushering A New Frontier In The Beverage Industry,https://www.iangels.com/2016/08/weissbeerger-ushering-a-new-frontier-in-the-beverage-industry/,"Wed, 31 Aug 2016 08:53:56 +0000","In an interview with StartUs – Europe’s leading magazine for startups – Ori Fingerer, co-founder & VP Business Development at iAngels’ portfolio company WeissBeerger, shares his insights on the beverage industry & how the company’s analytics tool meet the needs of beverage manufacturers and customers: Describe WeissBeerger in 50 words or less. WeissBeerger is the […]",other
iAngels named Israel’s Top Fintech Investor,https://www.iangels.com/2016/08/iangels-named-israels-top-fintech-investor/,"Thu, 25 Aug 2016 13:59:26 +0000","iAngels named Israel’s Top Fintech Investor Geektime has ranked iAngels top of its Fintech Investors Index for the first half of 2016, following investments such as Zooz, Simplex and TravelersBox. For the full story, click here.",fund
iAngels raises $15 million for startup investments,https://www.iangels.com/2016/08/iangels-raises-15-million-for-startup-investments/,"Thu, 25 Aug 2016 12:26:28 +0000","iAngels raises $15 million for startup investments iAngels, an angel investment platform that enables accredited investors globally to co-invest with prominent angel investors in Israeli startups, has raised $15 million from European, Asian and U.S. financial institutions, for a fund targeting investments in early-stage Israeli startups. The fund will focus on companies in the areas […]",fund
Seed CX Gains SEF Registration from CFTC,https://www.iangels.com/2016/08/seedcx-gains-sef-registration-from-cftc/,"Wed, 24 Aug 2016 09:04:05 +0000","Exciting news for iAngels portfolio company Seed CX – the CFTC has now formally granted its approval to be a Swap Execution Facility (SEF). In fact, Seed CX becomes the fastest applicant to ever receive full registration as a SEF in CFTC history! To see the full article, click here",other
"iAngels Weekly Deal Digest – August 11th, 2016",https://www.iangels.com/2016/08/iangels-weekly-deal-digest-august-11th-2016/,"Thu, 11 Aug 2016 13:50:07 +0000","Things slowed down a bit this week, unsurprising given the August heat. But to even things out I’ll include a few deals that were announced late last week, just to make sure you’re up to speed. Enjoy! Seed Rounds RailVision, a safety and security technology focused on preventing accidents on train rails, raised $2m from Foresight Automotive. […]",fund
Podcast: Network Effects with James Currier,https://www.iangels.com/2016/08/networkeffects/,"Thu, 11 Aug 2016 06:38:40 +0000","60% of the value created by tech companies since 1994 have “network effects” at their core. In this podcast, entrepreneur, angel investor, and co-founder of the NFX Guild James Currier joins iAngels’ host Max Marine to help define network effects and their implications for early-stage investors.",fund
"iAngels Weekly Deal Digest – August 4th, 2016",https://www.iangels.com/2016/08/iangels-weekly-deal-digest-august-4-2016/,"Thu, 04 Aug 2016 06:54:01 +0000","It’s now August. And according to Gary Vaynerchuk, this is the month to GO ALL IN. In Israel, another $99m went “all in” since we last touched base. But where did it go? Series A Rounds CyberX, a critical infrastructure cybersecurity company, raised $9mm led by Flint Capital with participation from Glilot Capital, Glenrock, and ff Venture […]",fund
NFX named top investor in Silicon Valley,https://www.iangels.com/2016/08/nfx-named-top-investor-silicon-valley/,"Wed, 03 Aug 2016 09:33:35 +0000","Despite the talk of doom and gloom in the Valley, there is plenty of money going into great companies. Many early stage deals are still getting done by savvy investors who see opportunity in the right spaces. So who should entrepreneurs go to to seek seed funding? The list below is by no means comprehensive, but […]",fund
iAngels July Deal Digest – Monthly Wrap Up,https://www.iangels.com/2016/07/iangels-june-deal-digest-monthly-wrap/,"Thu, 28 Jul 2016 07:51:04 +0000","Greetings from Tel Aviv and welcome to another monthly wrap up! This July we saw $412mm in M&A and $240mm invested, with Security and Safety, Digital Health and Medical, and Education and Knowledge technologies account for 51% of total funding. We also launched our Podcast Series, where we discussed our reflections after investing in 50 companies. July also […]",Merge & Aquistion
Artbit is Digitizing The Art World,https://www.iangels.com/2016/07/artbit-digitizing-art-world/,"Tue, 26 Jul 2016 13:49:03 +0000","When Michelangelo painted the Sistine Chapel in the 16th century, few people around the world had the opportunity to admire it, or even knew it existed. Now, with the digitization of the art world, there exists an endless number of ways to create, experience and interact with art. From sketching and design software to online art auctions, dozens […]",other
Podcast: Reflections on 50 Investments,https://www.iangels.com/2016/07/podcast-reflection-50-investments/,"Sun, 24 Jul 2016 09:25:23 +0000","In 30 months, iAngels has invested more than $25mm in 50 entrepreneurs alongside leading angels and VCs in both Israel and Silicon Valley. In this podcast, iAngels’ Founding Partners Shelly Hod Moyal and Mor Assia, and iAngels’ Partner and Portfolio Manager Darya Fuks join host Max Marine to discuss key takeaways regarding how to evaluate […]",fund
"Solomoto Platform Handles Webdesign, CRM, Ecommerce, More",https://www.iangels.com/2016/07/solomoto-platform-handles-webdesign-crm-ecommerce/,"Fri, 22 Jul 2016 13:34:25 +0000","Solomoto is a marketing technology provider that helps small companies grow by centralizing their digital business needs into an all-in-one platform that encompasses web design, ecommerce, CRM, social media marketing and ad campaigning. The company is based in Tel Aviv, Israel, and launched in 2015. It first ventured into international markets — Brazil and Eastern Europe, specifically — and […]",other
Three Things to Know about SeedCX and the Industrial Hemp Industry,https://www.iangels.com/2016/07/three-things-know-seed-cx-industrial-hemp-industry/,"Mon, 18 Jul 2016 12:51:37 +0000","Two MIT Sloan Master of Finance alumni are entering the burgeoning hemp industry with an electronic trading platform for emerging markets. Brian Liston and Edward Woodford co-founded Seed CX, which is awaiting regulatory approval from the U.S. Commodity Futures Trading Commission. The company’s goal is to provide a sophisticated trading infrastructure for emerging commodities that […]",other
"iAngels Weekly Deal Digest – July 14th, 2016",https://www.iangels.com/2016/07/iangels-weekly-deal-digest-july-14th-2016/,"Thu, 14 Jul 2016 11:33:35 +0000","It appears that the Pokemon have infiltrated Israel. In other local news, the second week of July brought an announced $84mm in investments. Let’s explore the nature of these investments below. Seed Rounds Supersmart, a retail commerce solution helping customers skip the queue, raised an undisclosed seed round from a private angel investor. Series A Rounds Elbit […]",fund
"iAngels Weekly Deal Digest – July 7th, 2016",https://www.iangels.com/2016/07/iangels-weekly-deal-digest-july-7th-2016/,"Thu, 07 Jul 2016 13:54:15 +0000","As another week in Israel draws to a close, we saw a gentle $35mm flow into cybersecurity, cleantech, medical devices, and business analytics. Quite a stark contrast to the flurry of June announcements, so this week’s digest should be a bit easier on your brain. Seed Rounds HGT Solutions, a provider of energy saving solutions for […]",other
iAngels June Deal Digest – Monthly Wrap Up,https://www.iangels.com/2016/06/iangels-weekly-deal-digest-june-30th-2016/,"Thu, 30 Jun 2016 10:19:08 +0000","Although this week was relatively quiet,  June was a banner month for Israeli high-tech, with $530mm and $768mm in announced investments and acquisitions. Let’s dive right in! This week: Omeq Medical, a medical device system targeting epidural injection complications, raised $1mm from private investors. Folloze, a content creation platform  for sellers and marketers, raised $1.4mm from […]",fund
"iAngels Weekly Deal Digest – June 23rd, 2016",https://www.iangels.com/2016/06/iangels-weekly-deal-digest-june-23rd-2016/,"Thu, 23 Jun 2016 13:35:20 +0000","After last week’s $158mm scorcher, another $170mm poured into 12 Israeli start-ups this week. From drones and cyber to blockchain and IoT, investors were active from seed to growth. Let’s dive in. Seed Rounds Comeet, an online platform for enterprise recruiting, raised $1.2mm from a group of six private angel investors. Moburst, an international mobile marketing agency, raised […]",fund
How will Israeli innovation play into the global robotics industry?,https://www.iangels.com/2016/06/will-israeli-innovation-play-global-robotics-industry/,"Thu, 23 Jun 2016 11:46:38 +0000","This article was originally published on Techcrunch  In the last few months, a Singaporean University hired Nadine as a secretary, a Boston Dynamics employee pushed over his colleague Atlas who was moving boxes at a factory and Tally, a San Francisco Target employee, began checking to make sure all the products in Aisle 3 are fully stocked. […]",other
Kwik raises $3 million to take on Amazon Dash buttons,https://www.iangels.com/2016/06/kwik-raises-3-million-take-amazon-dash-buttons/,"Wed, 22 Jun 2016 07:38:33 +0000","Amazon Dash buttons have been gaining traction and Kwik thinks there is room for a competitor. The Tel Aviv-based startup has designed a similar product and is working with Domino’s, Budweiser, Huggie’s and other brands to make it as easy to order pizza as pressing a button — literally. And the team is announcing that Norwest […]",other
"iAngels Weekly Deal Digest – June 16th, 2016",https://www.iangels.com/2016/06/iangels-weekly-deal-digest-june-16th-2016/,"Thu, 16 Jun 2016 12:03:33 +0000","Tel Aviv may be a balmy 82 degrees, but the high-tech investment pace in Israel is on FIRE. With another $158mm invested in 12companies this past week, June has already seen $346mm in deployed capital, bringing the total private high-tech investment since May 1st to $1.03b. Let’s unpack this week a bit. Seed Rounds DeepSense, an industrial IoT predictive analytics […]",fund
Finrise named as top US startup,https://www.iangels.com/2016/06/finrise-named-top-us-startup/,"Mon, 13 Jun 2016 07:51:51 +0000","With all of the talk of downturn, doom and gloom in the Silicon Valley press cycles, it’s easy to forget that venture capital deals are still getting at a pretty rapid pace. I recently asked 25 venture capitalists and angel investors which companies they are most excited by based on their operational performance (not based […]",fund
A smarter phone becomes a personal assistant,https://www.iangels.com/2016/06/smarter-phone-becomes-personal-assistant/,"Mon, 13 Jun 2016 07:19:39 +0000","Artificial intelligence is a longstanding science fiction staple that is coming into its own. Google, Facebook, Apple, and others are all developing AI tools. You can try out some apps today that demonstrate fledgling forms of the technology by smartly, swiftly, and automatically doing tasks that would otherwise take lots of effort. 24Me 24Me is […]",other
"iAngels Weekly Deal Digest – June 9th, 2016",https://www.iangels.com/2016/06/iangels-weekly-deal-digest-june-9th-2016/,"Thu, 09 Jun 2016 10:31:39 +0000","StartupNation was at it again this week with another US$ 150mm of total capital raised. Here are the deals Seed Rounds Unomy, a B2B sales tool raised $1.4m from AltaIR, Janvest, and LETA Capital Cyber 2.0, a stealth cyber company raised $1.5m from Hertzel Ozer AppFront, a mobile app creating a channel between customers and […]",fund
iAngels: Invested in Making the Israeli Startup Market Thrive,https://www.iangels.com/2016/06/iangels-invested-making-israeli-startup-market-thrive/,"Thu, 02 Jun 2016 10:46:18 +0000","If you’re a smart investor or just tech savvy, you are probably curious about the Israeli startup scene. There is no doubt that the startup ecosystem in Israel is amongst the most successful in the world, so if you are interested in either investing, or just learning more about what’s going on here, keep reading! […]",fund
"iAngels Weekly Deal Digest – June 2nd, 2016",https://www.iangels.com/2016/06/iangels-weekly-deal-digest-june-2nd-2016/,"Thu, 02 Jun 2016 10:32:53 +0000","After last week’s $363m funding frenzy, this week was also quite robust, with $95.5m invested across multiple stages Seed Rounds MetaData, a prospecting tool for B2B marketers raised a $2m seed round, led by Hillsven, with participation from 500 Startups, Greycroft, and RSCM BioBeat, a medical device company focused on remote monitoring of abnormalities, raised a […]",fund
"iAngels Weekly Deal Digest – May 26th, 2016",https://www.iangels.com/2016/05/iangels-weekly-deal-digest-may-26th-2016/,"Thu, 26 May 2016 10:51:59 +0000","This week was a significant funding week in Israel, with a total of $363m in recorded investment, the bulk of which came from the Gett/VW deal ($300m) Seed Rounds Continuse, a biometric security solution, raised a $1m seed round from Lenovo Group, Tyco, and Olive Tree Hoop, a music and social entertainment app developer, raised a$2m seed round from The Sovereign Group and private […]",fund
iAngels named by Entrepreneur Magazine as a top 10 Finance company to watch,https://www.iangels.com/2016/05/iangels-named-entrepreneur-magazine-top-10-finance-company-watch/,"Thu, 26 May 2016 06:26:22 +0000","From funding to savings, these brilliant companies create solutions that move people and companies forward. 1. Danish Ventures has created a fund that targets design-focused but scalable companies solving some of the world’s biggest problems. 2. Users of Qapital, a personal savings app, set spending rules for themselves. When they break those rules, money is […]",fund
Israeli startups raised $3.6b in funding last year. This platform allows anyone to invest in them,https://www.iangels.com/2016/05/israeli-startups-raised-3-6b-funding-last-year-platform-allows-anyone-invest/,"Wed, 18 May 2016 14:49:23 +0000","Israel, also referred to as the “Startup Nation,” possesses one of the most active and innovative startup ecosystems globally. Not only does it have the most startups in the world on a per capita basis, its entrepreneurs are way ahead of the curve when it comes to building products that people need. You may not know […]",other
iAngels Democratizes Israeli High-Tech For Global Investors,https://www.iangels.com/2016/05/iangels-democratizes-israeli-high-tech-global-investors/,"Sun, 15 May 2016 05:45:11 +0000","Israelis are among the smartest in the entire world. I recently wrote about UpWest Labs, a venture fund in the Silicon Valley that scouts out the best entrepreneurs in Israel, invests in them, and brings them to the Valley. They are smart investors. They spend hundreds of hours researching the teams and entrepreneurs they ultimately invest […]",fund
How Israel Plans to Disrupt a $4.7 trillion Industry,https://www.iangels.com/2016/05/its-a-fintech-world/,"Tue, 10 May 2016 07:05:00 +0000","The digitization of currency presents an incredible opportunity for the world’s incumbent financial institutions, from payment processing to credit and insurance products, wealth management, and currency transfer and exchange. Yet the regulatory, security, and risk management challenges faced by these institutions have paved the way for a flood of new entrants.  In 2015 alone, over […]",other
"Starting May 16, Entrepreneurs Can Raise Money in a Whole New Way. Here’s What You Need to Know",https://www.iangels.com/2016/05/starting-may-16-entrepreneurs-can-raise-money-whole-new-way-heres-need-know/,"Sun, 08 May 2016 08:30:47 +0000","Monday, May 16, 2016, will be a very big day in the world of crowdfunding. More people will be able to invest in entrepreneurs through crowdfunding than they were just the day before. And that means that more entrepreneurs with more innovative ideas will be able to launch more businesses. “The implications of legalizing equity-based […]",fund
Payment startup Zooz raises $24 million as global fintech looks for standards,https://www.iangels.com/2016/05/payment-startup-zooz-raises-24-million-global-fintech-looks-standards/,"Tue, 03 May 2016 13:47:30 +0000","As payment solutions proliferate and calls for standardization mount, Israel-based payment platform startup Zooz said it has closed a $24 million led by Target Global Ventures, to expand globally and bolster its products and services. Zooz’s series C round more than doubles the total amount invested in the company to $40.5 million, raised in four rounds. The […]",fund
Zengaming gets $2.8M in funding to expand its social network for the esports business,https://www.iangels.com/2016/04/zengaming-gets-2-8m-funding-expand-social-network-esports-business/,"Sun, 24 Apr 2016 06:18:12 +0000","Competitive gaming is growing quickly, and one of the sites trying to make your dreams of going pro a reality is building up to serve the future of esports. Zengaming, a social network for gamers looking to make a name for themselves in the esports world, has raised $2.8 million in funding. Crown Resorts Limited, a casino […]",fund
"Adtech is going native on steroids, hyper-personalization and consolidation",https://www.iangels.com/2016/04/adtech-going-native-steroids-hyper-personalization-consolidation/,"Thu, 21 Apr 2016 16:11:29 +0000","iAngels’ adviser Kfir Moyal reflects on 2015’s Adtech correction and the opportunities for investors in 2016 After years of VC exuberance, 2015 marked the end of an investment cycle for the adtech industry. Quite a few companies with high valuations stumbled, downsized, restructured and pivoted in order to achieve, or at least progress on a […]",fund
Israel and Berlin: A great combination for success in global competition,https://www.iangels.com/2016/04/israel-berlin-great-combination-success-global-competition/,"Thu, 21 Apr 2016 06:20:56 +0000","A few months ago, in preparation for my post “Off to Silicon Wadi”, I did some research on the Israeli startup scene. The startup-relevant facts and figures I turned up on Israel – and especially on Tel Aviv – were downright amazing. The Israelis are hot on the heels of Silicon Valley. Berlin is rather far […]",other
Backed Review: Co-Signers Make Personal Loans Cheaper,https://www.iangels.com/2016/04/backed-review-co-signers-make-personal-loans-cheaper/,"Tue, 05 Apr 2016 12:15:36 +0000","Backed wants to give low-interest loans to millennials with unestablished credit. The online lender uses a simple co-signer model. It allows someone with stellar credit (typically a family member or friend) to “back” a borrower. You can qualify for a personal loan without a backer, but the addition of one will reduce your interest rate — the company […]",other
"Agriculture Technology company, Taranis, raises $2m seed round",https://www.iangels.com/2016/04/agriculture-technology-company-taranis-raises-2m-seed-round/,"Sun, 03 Apr 2016 11:59:31 +0000","Israeli farm management software Taranis has raised $2 million in seed funding in a round led by crowdfunding platform OurCrowd, and Eshbol Ventures, an Israeli early stage investment firm. Joining the seed round was Marc Benioff, founder and CEO of sales software giant Salesforce. Benioff was introduced to Taranis by one of its angel investors. […]",fund
Applitools and DbMaestro named to software development startups,https://www.iangels.com/2016/03/applitools-dbmaestro-named-software-development-startups/,"Mon, 14 Mar 2016 21:20:22 +0000","What happens when you mix the country with the highest per capita engineers with ‘startup nation’? The land of R&D centers, it’s no wonder that Israel is a leader in making tools for software development and computer engineering. DBmaestro DBmaestro is a newer entry in the field of DevOps. Founded in 2008, it focused on […]",other
"Missbeez To Bring On-Demand Beauty Services To Your Home, Office",https://www.iangels.com/2016/03/missbeez/,"Sun, 13 Mar 2016 08:48:44 +0000","On average, American women spend seven hours a week on beauty. However, many businesswomen and working moms don’t have enough time to pamper themselves, and many other women simply cannot afford the luxury of beauty salons. Enter Missbeez, an Israeli startup that allows the busy women of today to order beauty services to their offices or homes, so they […]",other
